Date,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
1991-11-19,2,0.6,1.4,0.4,1,4.8,0,0.2,0.8,0.6,1.6,3.4,9.2,1.4,1,3.6,3.6,5.6,5.2,1.2,3,3,0.4,0.4,0.6,2.2,8,9.8,8,4,3.2,0.8,1.2,3.4,3.4,2.2,1,4.4,5.2,21.4,1.4,0.6,6.6,9,7.6,2,7.4,3
1991-11-20,5,7.8,7,5.8,5.6,12.4,7.2,9.6,5.8,7.8,6.2,6.2,12.4,7.6,8,7,11,16.2,14.4,10.8,4.8,12.4,4.6,5.8,4.6,5.8,13.2,13.2,7.8,8.4,7.8,4.4,9.2,11.4,6.2,5,7.8,14.2,17.6,2.2,7.6,4.6,11.4,11.6,10.4,5.4,8.2,6.4
1991-11-21,1.8,12.8,0.2,1.6,1.8,5,11.4,0.4,10.4,16.2,6.4,1,0.8,4.8,4,3.6,6,5.4,6.2,6.2,3.4,6.4,2.6,1.6,2,2,2,0.2,0.6,0.6,3,1.6,7.4,0.6,1,0.2,1.4,7,8.4,2.8,4.8,1.4,0,0.8,0,0.2,2,2.2
1991-11-22,6.2,7.8,1.2,3,1,6.4,6.2,1.2,6,8.4,10,2.8,4.6,3,7.2,9.6,10.2,6.6,9.6,6.8,4.8,4.4,5.4,3,1.8,3.8,6,3.4,5.4,3,4,3,5.2,1.4,2.8,0.8,5.4,10.6,4.2,1.8,3,2.4,4.6,4.6,3.8,1.2,5.2,6.4
1991-11-23,5.2,1,1.8,1,1.8,2,0.6,2.8,0.8,0.6,2.4,0.8,3.4,2.4,1.4,3.2,2.6,2.8,2,1.8,5.8,2.6,2.2,1,0.8,1,3.4,2.2,1.2,2,1.2,2.2,3.6,3.2,0.8,1,2.6,2.6,1.6,1.8,2.4,2.2,2.6,3.4,3,1.8,1.2,6
1991-11-24,0.2,10.2,0,1,0,6.8,14.2,0.2,17.2,10.8,6.8,0,0.4,3.4,5.6,5.8,4.6,5.6,6.8,7.4,0.2,8.8,4.8,1,3.4,5.2,1,0,0.6,0,4.8,2.6,2,0,0,0.6,4.4,5.8,7.2,0,3.4,1.6,0,0.2,0,0.4,1.8,0.2
1991-11-25,0,0.2,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.4,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0,0,0,0,0,0,0,0,0
1991-11-26,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
1991-11-27,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.4,0,0.2,0.2,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
1991-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
1991-11-29,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
