Date,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
1991-11-19,-0.154166667,2.625,4.05,-1.108333333,-1.370833333,-2.65,2.3375,0.354166667,2.691666667,2.625,3.654166667,6.666666667,1.325,0.079166667,3.291666667,1.75,2.1,-0.441666667,2.654166667,0.416666667,0.8375,-2.6875,1.891666667,4.779166667,4.820833333,3.95,-0.120833333,1.395833333,1.679166667,1.766666667,1.920833333,0.954166667,0.85,1.370833333,6.191666667,5.645833333,3.291666667,2.3,-0.545833333,-4.7875,-2.5375,1.404166667,0.491666667,1.2875,1.895833333,6.1625,2.720833333,-1.470833333
1991-11-20,0.629166667,3.3625,4.766666667,0.279166667,0.1,-1.2625,3.125,1.1,3.5625,3.3625,4.379166667,7.254166667,3.095833333,0.733333333,3.816666667,2.675,2.620833333,0.245833333,3.383333333,1.716666667,1.2625,-1.591666667,2.3625,4.954166667,5.325,4.966666667,0.991666667,2.516666667,4.085,2.683333333,2.675,1.416666667,1.029166667,2.566666667,6.316666667,6.141666667,3.816666667,3.2125,0.3375,-6.016666667,-0.2875,2.3375,1.341666667,2.1625,3,6.5375,4.375,0.041666667
1991-11-21,0.7375,3.241666667,5.895833333,0.029166667,-0.066666667,-2.795833333,2.716666667,2.233333333,3.483333333,2.516666667,5.029166667,8.6375,3.466666667,0.1625,4.333333333,2.133333333,2.825,-0.025,2.975,1.3625,2.066666667,-2.991666667,2.333333333,6.35,5.4125,5.454166667,0.679166667,2.566666667,2.983333333,3.883333333,3.791666667,1.033333333,0.729166667,3.408333333,6.2625,7.654166667,4.333333333,2.2125,0.004166667,-4.766666667,-2.1125,2.658333333,1.75,2.55,3.708333333,8.308333333,3.016666667,-0.2
1991-11-22,1.154166667,3.970833333,7.133333333,-0.183333333,0.029166667,-2.2625,3.4125,3.041666667,3.866666667,2.579166667,5.470833333,8.204166667,5.129166667,1.054166667,4.958333333,2.795833333,3.404166667,0.554166667,3.858333333,1.345833333,3.341666667,-2.625,3.275,6.816666667,6.695833333,5.8875,1.108333333,3.4375,3.525,5.358333333,3.958333333,2.5625,1.820833333,4.741666667,7.625,6.954166667,4.958333333,3.2125,0.233333333,-5.454166667,-1.8,2.670833333,2.670833333,3.2125,3.695833333,7.795833333,4.05,0.1125
1991-11-23,0.775,4.366666667,6.479166667,-0.545833333,0.183333333,-2.845833333,3.55,2.2875,4.058333333,3.191666667,5.822916667,8.05,4.641666667,1.079166667,5.2625,3.108333333,3.6875,0.129166667,4.108333333,1.341666667,2.275,-2.691666667,3.108333333,6.720833333,6.545833333,6.045833333,1,2.7625,3.6,4.7125,3.85,2.520833333,2.166666667,4.116666667,7.35,6.133333333,5.2625,3.554166667,0.079166667,-5.979166667,-1.483333333,2.558333333,2.583333333,2.804166667,3.141666667,7.095833333,3.804166667,-0.4625
1991-11-24,0.508333333,3.583333333,6.454166667,0.170833333,-0.1,-3.083333333,3.716666667,2.3,3.583333333,2.475,4.975,9.004166667,3.7625,0.320833333,4.566666667,2.25,2.8125,-0.320833333,3.266666667,1.445833333,2.116666667,-3.466666667,2.45,6.879166667,6.8125,6.316666667,1.195833333,2.845833333,2.883333333,4.308333333,3.9125,1.583333333,1.541666667,3.45,8.083333333,7.833333333,4.566666667,2.233333333,0.1125,-3.554166667,-2.0875,2.591666667,2.533333333,2.7875,4.066666667,8.183333333,3.275,-0.170833333
1991-11-25,1.891666667,5.2375,6.1375,0.9125,1.354166667,-0.683333333,4.316666667,4.229166667,5.116666667,4.466666667,5.3,8.833333333,4.445833333,2.541666667,5.35,3.841666667,4.870833333,1.233333333,5.1125,2.629166667,3.35,-1.691666667,4.316666667,6.825,6.566666667,6.2125,1.775,4.075,3.704166667,5.241666667,4.804166667,3.666666667,3.833333333,5.1125,8.120833333,6.8,5.35,4.329166667,1.45,-2.129166667,-0.133333333,3.741666667,2.895833333,3.858333333,3.166666667,7.208333333,4.033333333,1.358333333
1991-11-26,0.704166667,4.316666667,4.1375,0.5875,0.216666667,0.625,3.770833333,2.825,4.404166667,3.616666667,1.633333333,7.816666667,1.491666667,0.075,2.716666667,1.854166667,2.891666667,0.325,2.15,1.675,1.604166667,-0.195833333,3.3375,4.808333333,4.625,4.05,-0.175,3.508333333,0.004166667,3.604166667,4.4125,2.0625,1.933333333,3.4625,7.370833333,5.35,2.716666667,2.3,-0.7,-0.875,-2.591666667,2.895833333,0.125,3.129166667,1.158333333,6.95,2.154166667,1.775
1991-11-27,1.1375,3.620833333,2.966666667,1.483333333,0.420833333,0.866666667,3.4375,2.133333333,4.020833333,3.508333333,0.5375,8.145833333,0.658333333,-1.125,1.95,2.120833333,1.8875,0.145833333,2.133333333,2.633333333,0.766666667,0.220833333,3.4875,4.416666667,3.8625,3.558333333,-0.258333333,3.641666667,-0.470833333,2.229166667,3.629166667,1.3125,1.466666667,2.15,5.520833333,4.770833333,1.95,1.779166667,0.045833333,-0.795833333,-2.1875,2.779166667,-0.5875,3.079166667,0.791666667,8.254166667,1.783333333,2.441666667
1991-11-28,1.708333333,3.741666667,2.658333333,2.404166667,0.920833333,2.125,3.7,2.558333333,4.0125,4.079166667,0.025,7.5125,0.220833333,-0.4125,2.266666667,1.741666667,1.983333333,1.279166667,1.945833333,3.504166667,1.341666667,0.6875,3.754166667,4.433333333,4.075,3.108333333,-0.3375,3.304166667,-0.775,2.154166667,3.808333333,1.933333333,2.066666667,2.3125,5.029166667,4.541666667,2.266666667,1.7875,0.4125,-2.466666667,-1.0125,3.2,-0.779166667,3.541666667,0.875,7.645833333,1.541666667,3.604166667
1991-11-29,2.558333333,4.420833333,2.645833333,3.395833333,1.866666667,1.816666667,4.641666667,3.520833333,5.1375,4.970833333,-0.154166667,8.2,0.233333333,0.116666667,2.495833333,2.933333333,2.633333333,1.833333333,2.975,4.275,1.808333333,0.820833333,4.75,4.066666667,4.120833333,3.35,0.258333333,0.233333333,-0.929166667,2.466666667,4.433333333,2.704166667,2.883333333,2.720833333,5.308333333,5.3,2.495833333,2.345833333,1.7375,-3.120833333,0.383333333,4.308333333,-0.720833333,4.479166667,1.616666667,8.470833333,1.654166667,4.1
1991-11-30,1.616666667,3.345833333,2.341666667,1.145833333,1.070833333,0.65,3.125,2.341666667,3.741666667,3.4125,-0.570833333,7.383333333,-0.154166667,-1.204166667,1.770833333,1.758333333,1.791666667,0.316666667,2.295833333,1.895833333,1.279166667,-0.604166667,3.558333333,3.4125,3.320833333,2.404166667,-0.7625,-0.154166667,-1.829166667,1.854166667,3.529166667,1.520833333,1.504166667,1.804166667,4.575,4.1375,1.770833333,1.654166667,-0.0625,0.05,-1.720833333,2.833333333,-1.2125,3.2375,0.608333333,7.595833333,0.65,2.716666667
1991-12-01,-0.270833333,1.533333333,0.895833333,0.425,-0.308333333,0.279166667,1.370833333,0.691666667,1.6625,1.420833333,-1.7,5.320833333,-1.466666667,-2.0875,0.308333333,0.183333333,0.05,-0.6625,0.2,-0.041666667,-0.495833333,-1.266666667,2.045833333,1.970833333,2.145833333,1.216666667,-2.095833333,-1.466666667,-3.1625,0.35,1.391666667,-0.1125,0.108333333,0.575,3.258333333,2.341666667,0.308333333,-0.104166667,-1.166666667,-2.754166667,-3.016666667,1.125,-2.316666667,1.545833333,-1.058333333,4.795833333,-1.304166667,1.316666667
